size of numTable: 10000
Amicable: 1313 and 3233
Amicable: 3149 and 1313
Amicable: 1649 and 3149
Amicable: 545 and 1649
Amicable: 3053 and 545
Amicable: 749 and 3053
Amicable: 1133 and 749
Amicable: 2573 and 1133
Amicable: 2923 and 100
Amicable: 763 and 2923
Amicable: 1339 and 763
Amicable: 3139 and 1339
Amicable: 1843 and 3139
Amicable: 339 and 1843
Amicable: 565 and 3337
Amicable: 2581 and 565
Amicable: 1717 and 2581
Amicable: 1177 and 1717
Amicable: 3071 and 243
Amicable: 791 and 3071
Amicable: 3599 and 791
Amicable: 1919 and 3599
Amicable: 1199 and 1919
Amicable: 2231 and 1199
Amicable: 1391 and 2231
Amicable: 3239 and 1391
Amicable: 3431 and 3239
Amicable: 3551 and 3431
Amicable: 2759 and 3551
Amicable: 1751 and 2759
Amicable: 165 and 3397
Amicable: 72 and 165
Amicable: 1957 and 72
Amicable: 1417 and 1957
Amicable: 1243 and 3763
Amicable: 3403 and 1243
Amicable: 1819 and 3403
Amicable: 2323 and 1819
Amicable: 2813 and 3569
Amicable: 3293 and 2813
Amicable: 3713 and 3293
Amicable: 128 and 3713
Amicable: 3953 and 128
Amicable: 1853 and 3953
Amicable: 2369 and 1853
Amicable: 2033 and 2369
Amicable: 3869 and 2033
Amicable: 1469 and 3869
Amicable: 2071 and 261
Amicable: 3007 and 2071
Amicable: 4087 and 3007
Amicable: 164 and 254
Amicable: 3901 and 189
Amicable: 2461 and 3901
Amicable: 3649 and 2461
Amicable: 4189 and 3649
Amicable: 2929 and 4189
Amicable: 1921 and 2929
Amicable: 381 and 1921
Amicable: 425 and 2987
Amicable: 4187 and 425
Amicable: 3827 and 4187
Amicable: 2507 and 3827
Amicable: 4307 and 2507
Amicable: 635 and 4307
Amicable: 1331 and 635
Amicable: 4331 and 1331
Amicable: 2147 and 4331
Amicable: 3131 and 2147
Amicable: 136 and 262
Amicable: 154 and 136
Amicable: 393 and 3193
Amicable: 3589 and 393
Amicable: 4453 and 3589
Amicable: 889 and 4453
Amicable: 112 and 172
Amicable: 279 and 4399
Amicable: 3103 and 279
Amicable: 2599 and 3103
Amicable: 655 and 2599
Amicable: 4183 and 655
Amicable: 4757 and 3977
Amicable: 3737 and 4757
Amicable: 1397 and 3737
Amicable: 3161 and 1397
Amicable: 4661 and 3161
Amicable: 3317 and 4661
Amicable: 917 and 3317
Amicable: 84 and 274
Amicable: 195 and 1651
Amicable: 4171 and 195
Amicable: 411 and 4171
Amicable: 4891 and 411
Amicable: 3379 and 4891
Amicable: 4819 and 3379
Amicable: 3811 and 4819
Amicable: 4141 and 4897
Amicable: 1441 and 4141
Amicable: 4717 and 1441
Amicable: 417 and 4717
Amicable: 3277 and 417
Amicable: 685 and 3277
Amicable: 4343 and 959
Amicable: 1703 and 4343
Amicable: 5183 and 1703
Amicable: 475 and 5183
Amicable: 2159 and 475
Amicable: 539 and 2159
Amicable: 4223 and 539
Amicable: 3959 and 4223
Amicable: 4559 and 3959
Amicable: 3503 and 4559
Amicable: 5063 and 3503
Amicable: 695 and 5063
Amicable: 5293 and 4429
Amicable: 973 and 5293
Amicable: 4033 and 973
Amicable: 2413 and 4033
Amicable: 188 and 152
Amicable: 4747 and 5251
Amicable: 1507 and 4747
Amicable: 4387 and 1507
Amicable: 2227 and 4387
Amicable: 5561 and 1529
Amicable: 5609 and 5561
Amicable: 1781 and 5609
Amicable: 4469 and 1781
Amicable: 2921 and 4469
Amicable: 4181 and 2921
Amicable: 5429 and 4181
Amicable: 5141 and 5429
Amicable: 2489 and 5141
Amicable: 4601 and 2489
Amicable: 4841 and 4601
Amicable: 4687 and 5767
Amicable: 447 and 4687
Amicable: 231 and 447
Amicable: 1807 and 231
Amicable: 302 and 170
Amicable: 182 and 302
Amicable: 5353 and 2329
Amicable: 745 and 5353
Amicable: 5893 and 745
Amicable: 5029 and 5893
Amicable: 3013 and 5029
Amicable: 453 and 3013
Amicable: 4633 and 453
Amicable: 96 and 625
Amicable: 5459 and 242
Amicable: 2363 and 5459
Amicable: 3683 and 2363
Amicable: 5723 and 3683
Amicable: 4859 and 5723
Amicable: 1043 and 4859
Amicable: 5963 and 1043
Amicable: 6059 and 5963
Amicable: 755 and 6059
Amicable: 2603 and 755
Amicable: 5123 and 2603
Amicable: 1057 and 3937
Amicable: 2641 and 1057
Amicable: 5917 and 2641
Amicable: 637 and 6319
Amicable: 333 and 637
Amicable: 3151 and 333
Amicable: 5671 and 3151
Amicable: 471 and 5671
Amicable: 1639 and 471
Amicable: 5959 and 1639
Amicable: 3799 and 5959
Amicable: 5311 and 3799
Amicable: 1937 and 5777
Amicable: 4061 and 1937
Amicable: 785 and 4061
Amicable: 1661 and 785
Amicable: 6161 and 1661
Amicable: 6497 and 6161
Amicable: 6077 and 6497
Amicable: 6557 and 6077
Amicable: 3197 and 6557
Amicable: 1963 and 1099
Amicable: 6283 and 1963
Amicable: 6499 and 6283
Amicable: 4699 and 6499
Amicable: 326 and 212
Amicable: 3973 and 2533
Amicable: 489 and 3973
Amicable: 5989 and 489
Amicable: 6313 and 5989
Amicable: 6527 and 7031
Amicable: 4031 and 6527
Amicable: 815 and 4031
Amicable: 6431 and 815
Amicable: 4847 and 6431
Amicable: 1727 and 4847
Amicable: 6767 and 1727
Amicable: 6887 and 6767
Amicable: 5207 and 6887
Amicable: 2831 and 5207
Amicable: 575 and 2831
Amicable: 4247 and 575
Amicable: 363 and 4247
Amicable: 2567 and 363
Amicable: 334 and 190
Amicable: 6649 and 2041
Amicable: 6901 and 6649
Amicable: 501 and 6901
Amicable: 4309 and 501
Amicable: 7081 and 4309
Amicable: 2869 and 7081
Amicable: 1141 and 2869
Amicable: 5461 and 1141
Amicable: 7171 and 3427
Amicable: 5371 and 7171
Amicable: 6667 and 5371
Amicable: 7387 and 6667
Amicable: 835 and 7387
Amicable: 5633 and 273
Amicable: 1793 and 5633
Amicable: 3473 and 1793
Amicable: 2669 and 3473
Amicable: 7313 and 2669
Amicable: 7373 and 7313
Amicable: 1169 and 7373
Amicable: 5969 and 1169
Amicable: 6893 and 5969
Amicable: 5069 and 6893
Amicable: 7169 and 5069
Amicable: 184 and 346
Amicable: 519 and 2119
Amicable: 369 and 519
Amicable: 5143 and 369
Amicable: 7303 and 5143
Amicable: 255 and 7303
Amicable: 7519 and 255
Amicable: 2983 and 7519
Amicable: 7663 and 2983
Amicable: 7597 and 6157
Amicable: 4321 and 7597
Amicable: 5617 and 4321
Amicable: 865 and 5617
Amicable: 1837 and 865
Amicable: 3611 and 7979
Amicable: 5699 and 3611
Amicable: 8051 and 5699
Amicable: 4379 and 8051
Amicable: 7571 and 4379
Amicable: 7811 and 7571
Amicable: 5891 and 7811
Amicable: 4619 and 5891
Amicable: 6731 and 4619
Amicable: 2771 and 6731
Amicable: 2171 and 2771
Amicable: 1211 and 2171
Amicable: 7739 and 1211
Amicable: 7957 and 8137
Amicable: 2197 and 7957
Amicable: 3097 and 2197
Amicable: 537 and 3097
Amicable: 297 and 537
Amicable: 4681 and 297
Amicable: 5977 and 4681
Amicable: 362 and 236
Amicable: 1903 and 543
Amicable: 895 and 1903
Amicable: 2839 and 895
Amicable: 387 and 2839
Amicable: 6943 and 387
Amicable: 6439 and 6943
Amicable: 8023 and 6439
Amicable: 8383 and 8023
Amicable: 126 and 174
Amicable: 905 and 3749
Amicable: 8453 and 905
Amicable: 8249 and 8453
Amicable: 3173 and 8249
Amicable: 7493 and 3173
Amicable: 4553 and 7493
Amicable: 8549 and 4553
Amicable: 5513 and 8549
Amicable: 2249 and 5513
Amicable: 1253 and 2249
Amicable: 6533 and 1253
Amicable: 8633 and 6533
Amicable: 4867 and 5587
Amicable: 7747 and 4867
Amicable: 8611 and 7747
Amicable: 1267 and 8611
Amicable: 3841 and 6109
Amicable: 7261 and 3841
Amicable: 1969 and 7261
Amicable: 2941 and 1969
Amicable: 8989 and 2941
Amicable: 385 and 8989
Amicable: 7729 and 385
Amicable: 8881 and 7729
Amicable: 3287 and 1991
Amicable: 8927 and 3287
Amicable: 9047 and 8927
Amicable: 6191 and 9047
Amicable: 6407 and 6191
Amicable: 7367 and 6407
Amicable: 7991 and 7367
Amicable: 833 and 7991
Amicable: 605 and 833
Amicable: 9167 and 605
Amicable: 4727 and 9167
Amicable: 2327 and 4727
Amicable: 238 and 382
Amicable: 8509 and 6493
Amicable: 573 and 8509
Amicable: 285 and 573
Amicable: 2353 and 285
Amicable: 5053 and 2353
Amicable: 5809 and 5053
Amicable: 176 and 386
Amicable: 140 and 176
Amicable: 955 and 8083
Amicable: 579 and 955
Amicable: 4843 and 579
Amicable: 9379 and 4843
Amicable: 7003 and 9379
Amicable: 3043 and 7003
Amicable: 9523 and 3043
Amicable: 3979 and 9523
Amicable: 6437 and 5177
Amicable: 9017 and 6437
Amicable: 7097 and 9017
Amicable: 3077 and 7097
Amicable: 8201 and 3077
Amicable: 9701 and 8201
Amicable: 3401 and 9701
Amicable: 965 and 3401
Amicable: 9797 and 965
Amicable: 8357 and 9797
Amicable: 8777 and 8357
Amicable: 1337 and 8777
Amicable: 3439 and 423
Amicable: 1351 and 3439
Amicable: 6751 and 1351
Amicable: 6031 and 6751
Amicable: 591 and 6031
Amicable: 9991 and 591
Amicable: 8479 and 9991
Amicable: 162 and 8479
Amicable: 9271 and 162
Amicable: 398 and 230
Amicable: 597 and 985
Amicable: 5017 and 597
Amicable: 7897 and 5017
Amicable: 4117 and 7897
Amicable: 2101 and 4117
Amicable: 196 and 2101
Amicable: 9301 and 196
Amicable: 6179 and 2123
Amicable: 9179 and 6179
Amicable: 5363 and 9179
Amicable: 1379 and 5363
Amicable: 4163 and 1379
Amicable: 6683 and 4163
Amicable: 9563 and 6683
Amicable: 7379 and 9563
Amicable: 725 and 7379
Amicable: 8003 and 725
Amicable: 2483 and 8003
Amicable: 995 and 2483
Amicable: 9313 and 1393
Amicable: 7009 and 9313
Amicable: 2509 and 7009
Amicable: 6847 and 5191
Amicable: 351 and 6847
Amicable: 931 and 351
Amicable: 8791 and 931
Amicable: 2167 and 8791
Amicable: 3247 and 2167
Amicable: 9727 and 3247
Amicable: 338 and 3629
Amicable: 6401 and 338
Amicable: 5249 and 6401
Amicable: 8909 and 5249
Amicable: 5549 and 8909
Amicable: 9089 and 5549
Amicable: 9869 and 9089
Amicable: 7181 and 9869
Amicable: 3281 and 7181
Amicable: 2189 and 3281
Amicable: 7661 and 2189
Amicable: 2561 and 7661
Amicable: 8321 and 2561
Amicable: 3667 and 2587
Amicable: 9211 and 3667
Amicable: 5611 and 9211
Amicable: 266 and 422
Amicable: 4393 and 633
Amicable: 3349 and 4393
Amicable: 7849 and 3349
Amicable: 7093 and 7849
Amicable: 3743 and 8639
Amicable: 9983 and 3743
Amicable: 455 and 9983
Amicable: 1055 and 455
Amicable: 9263 and 1055
Amicable: 847 and 9263
Amicable: 7439 and 847
Amicable: 3383 and 7439
Amicable: 4439 and 3383
Amicable: 775 and 4439
Amicable: 6623 and 775
Amicable: 160 and 232
Amicable: 250 and 160
Amicable: 286 and 250
Amicable: 3781 and 9577
Amicable: 1477 and 3781
Amicable: 6697 and 1477
Amicable: 357 and 6697
Amicable: 7339 and 8131
Amicable: 8851 and 7339
Amicable: 4531 and 8851
Amicable: 5539 and 4531
Amicable: 7697 and 5921
Amicable: 5597 and 7697
Amicable: 2321 and 5597
Amicable: 9617 and 2321
Amicable: 7421 and 9617
Amicable: 4577 and 7421
Amicable: 477 and 5983
Amicable: 507 and 477
Amicable: 2743 and 507
Amicable: 7783 and 2743
Amicable: 9943 and 7783
Amicable: 292 and 446
Amicable: 208 and 292
Amicable: 5713 and 669
Amicable: 9853 and 5713
Amicable: 8413 and 9853
Amicable: 9169 and 8413
Amicable: 7067 and 5771
Amicable: 6107 and 7067
Amicable: 8507 and 6107
Amicable: 3587 and 8507
Amicable: 1115 and 3587
Amicable: 4009 and 345
Amicable: 6169 and 4009
Amicable: 681 and 6169
Amicable: 7141 and 681
Amicable: 1561 and 7141
Amicable: 248 and 458
Amicable: 9487 and 1135
Amicable: 687 and 9487
Amicable: 7831 and 687
Amicable: 9593 and 7913
Amicable: 1145 and 9593
Amicable: 4853 and 1145
Amicable: 8213 and 4853
Amicable: 1589 and 8213
Amicable: 7289 and 1589
Amicable: 2453 and 7289
Amicable: 466 and 156
Amicable: 8299 and 699
Amicable: 2899 and 8299
Amicable: 1603 and 2899
Amicable: 7363 and 1603
Amicable: 8077 and 8977
Amicable: 2497 and 8077
Amicable: 1165 and 2497
Amicable: 3791 and 8471
Amicable: 2519 and 3791
Amicable: 8159 and 2519
Amicable: 6119 and 8159
Amicable: 2951 and 6119
Amicable: 1127 and 2951
Amicable: 399 and 1127
Amicable: 9071 and 399
Amicable: 1631 and 9071
Amicable: 717 and 8557
Amicable: 6541 and 717
Amicable: 429 and 6541
Amicable: 4237 and 429
Amicable: 2977 and 4237
Amicable: 316 and 482
Amicable: 3859 and 9259
Amicable: 723 and 3859
Amicable: 2563 and 723
Amicable: 1195 and 2563
Amicable: 5129 and 3029
Amicable: 9353 and 5129
Amicable: 1673 and 9353
Amicable: 4313 and 1673
Amicable: 3893 and 4313
Amicable: 1205 and 3893
Amicable: 4351 and 375
Amicable: 7807 and 4351
Amicable: 531 and 7807
Amicable: 1687 and 531
Amicable: 2629 and 3961
Amicable: 5221 and 2629
Amicable: 3107 and 925
Amicable: 4427 and 3107
Amicable: 845 and 4427
Amicable: 2651 and 845
Amicable: 5267 and 2651
Amicable: 8651 and 5267
Amicable: 6467 and 8651
Amicable: 502 and 322
Amicable: 9073 and 753
Amicable: 256 and 9073
Amicable: 6913 and 256
Amicable: 3133 and 6913
Amicable: 4063 and 6583
Amicable: 5359 and 4063
Amicable: 1255 and 5359
Amicable: 549 and 1255
Amicable: 1757 and 6641
Amicable: 144 and 1757
Amicable: 9917 and 144
Amicable: 7037 and 9917
Amicable: 4541 and 7037
Amicable: 4097 and 4541
Amicable: 4579 and 771
Amicable: 8251 and 4579
Amicable: 7099 and 8251
Amicable: 459 and 7099
Amicable: 2761 and 1285
Amicable: 5497 and 2761
Amicable: 6757 and 5497
Amicable: 7223 and 9143
Amicable: 5543 and 7223
Amicable: 1799 and 5543
Amicable: 8399 and 1799
Amicable: 200 and 8399
Amicable: 3263 and 200
Amicable: 310 and 526
Amicable: 789 and 9589
Amicable: 8473 and 789
Amicable: 595 and 6931
Amicable: 1315 and 595
Amicable: 4267 and 1315
Amicable: 2827 and 4267
Amicable: 9307 and 2827
Amicable: 198 and 258
Amicable: 9761 and 7409
Amicable: 3341 and 9761
Amicable: 9389 and 3341
Amicable: 8621 and 9389
Amicable: 1841 and 8621
Amicable: 4769 and 1841
Amicable: 6989 and 4769
Amicable: 9847 and 807
Amicable: 7471 and 9847
Amicable: 542 and 296
Amicable: 356 and 542
Amicable: 374 and 356
Amicable: 813 and 9553
Amicable: 1345 and 813
Amicable: 4369 and 1345
Amicable: 5773 and 4369
Amicable: 2893 and 5773
Amicable: 1355 and 8843
Amicable: 1883 and 1355
Amicable: 4883 and 1883
Amicable: 1025 and 4883
Amicable: 3419 and 1025
Amicable: 8917 and 1897
Amicable: 224 and 554
Amicable: 1183 and 831
Amicable: 7279 and 1183
Amicable: 2959 and 7279
Amicable: 4471 and 2959
Amicable: 5911 and 4471
Amicable: 603 and 5911
Amicable: 9799 and 603
Amicable: 1385 and 2981
Amicable: 3497 and 1385
Amicable: 4997 and 3497
Amicable: 7781 and 4997
Amicable: 9881 and 7781
Amicable: 220 and 562
Amicable: 435 and 483
Amicable: 1939 and 435
Amicable: 3523 and 1939
Amicable: 843 and 3523
Amicable: 566 and 272
Amicable: 7453 and 6049
Amicable: 1405 and 7453
Amicable: 849 and 1405
Amicable: 513 and 849
Amicable: 4573 and 513
Amicable: 3047 and 1075
Amicable: 1573 and 3047
Amicable: 1967 and 1573
Amicable: 4607 and 1967
Amicable: 9287 and 4607
Amicable: 7967 and 9287
Amicable: 1415 and 7967
Amicable: 5111 and 1415
Amicable: 1421 and 5111
Amicable: 1981 and 5149
Amicable: 3601 and 1981
Amicable: 3091 and 6187
Amicable: 7627 and 3091
Amicable: 715 and 7627
Amicable: 3653 and 3113
Amicable: 8153 and 3653
Amicable: 665 and 8153
Amicable: 4709 and 665
Amicable: 6233 and 4709
Amicable: 9509 and 6233
Amicable: 879 and 3679
Amicable: 639 and 879
Amicable: 5263 and 639
Amicable: 1465 and 7801
Amicable: 4777 and 1465
Amicable: 441 and 204
Amicable: 8339 and 5339
Amicable: 9731 and 8339
Amicable: 4811 and 9731
Amicable: 2051 and 4811
Amicable: 6371 and 2051
Amicable: 7859 and 6371
Amicable: 328 and 418
Amicable: 8401 and 561
Amicable: 465 and 8401
Amicable: 5377 and 465
Amicable: 1519 and 3223
Amicable: 657 and 1519
Amicable: 6463 and 657
Amicable: 8033 and 3809
Amicable: 9953 and 8033
Amicable: 4913 and 9953
Amicable: 6509 and 4913
Amicable: 315 and 8587
Amicable: 404 and 614
Amicable: 8149 and 921
Amicable: 4981 and 8149
Amicable: 234 and 168
Amicable: 8207 and 1175
Amicable: 5567 and 8207
Amicable: 1535 and 5567
Amicable: 8711 and 1535
Amicable: 622 and 370
Amicable: 442 and 622
Amicable: 406 and 442
Amicable: 933 and 8773
Amicable: 2149 and 933
Amicable: 412 and 626
Amicable: 192 and 412
Amicable: 344 and 192
Amicable: 304 and 344
Amicable: 1555 and 939
Amicable: 6739 and 1555
Amicable: 3377 and 1565
Amicable: 2177 and 3377
Amicable: 2191 and 951
Amicable: 405 and 2191
Amicable: 3991 and 405
Amicable: 8497 and 3421
Amicable: 1585 and 8497
Amicable: 9083 and 4043
Amicable: 3443 and 9083
Amicable: 5219 and 3443
Amicable: 2219 and 5219
Amicable: 4069 and 5833
Amicable: 428 and 260
Amicable: 3487 and 5287
Amicable: 711 and 3487
Amicable: 5321 and 4121
Amicable: 5909 and 5321
Amicable: 7061 and 5909
Amicable: 627 and 5947
Amicable: 662 and 436
Amicable: 434 and 662
Amicable: 5389 and 993
Amicable: 7153 and 5389
Amicable: 1655 and 2057
Amicable: 6023 and 1655
Amicable: 1859 and 6023
Amicable: 8903 and 1859
Amicable: 7199 and 8903
Amicable: 9517 and 621
Amicable: 2317 and 9517
Amicable: 7291 and 9019
Amicable: 1011 and 7291
Amicable: 9641 and 578
Amicable: 9077 and 9641
Amicable: 1001 and 9077
Amicable: 1685 and 1001
Amicable: 3641 and 1685
Amicable: 4303 and 663
Amicable: 747 and 4303
Amicable: 2359 and 747
Amicable: 9703 and 2359
Amicable: 410 and 452
Amicable: 494 and 410
Amicable: 805 and 9193
Amicable: 5627 and 9827
Amicable: 3707 and 5627
Amicable: 1325 and 3707
Amicable: 4381 and 6289
Amicable: 1041 and 4381
Amicable: 609 and 1041
Amicable: 1813 and 1735
Amicable: 1047 and 1813
Amicable: 1745 and 5729
Amicable: 2429 and 1745
Amicable: 7613 and 2429
Amicable: 555 and 6403
Amicable: 2443 and 555
Amicable: 1059 and 2443
Amicable: 1765 and 3817
Amicable: 3839 and 2471
Amicable: 2299 and 3839
Amicable: 4511 and 2299
Amicable: 867 and 4511
Amicable: 935 and 867
Amicable: 7751 and 935
Amicable: 9599 and 7751
Amicable: 430 and 718
Amicable: 4537 and 1077
Amicable: 308 and 729
Amicable: 1795 and 5899
Amicable: 3883 and 1795
Amicable: 354 and 180
Amicable: 210 and 354
Amicable: 4589 and 6593
Amicable: 5933 and 4589
Amicable: 9773 and 5933
Amicable: 2513 and 9773
Amicable: 801 and 6631
Amicable: 1101 and 3949
Amicable: 7981 and 1101
Amicable: 6001 and 7981
Amicable: 4667 and 1835
Amicable: 651 and 4667
Amicable: 6707 and 651
Amicable: 8027 and 6707
Amicable: 875 and 8027
Amicable: 368 and 746
Amicable: 8119 and 6103
Amicable: 1119 and 8119
Amicable: 4037 and 1865
Amicable: 6821 and 4037
Amicable: 741 and 6821
Amicable: 6859 and 2611
Amicable: 4771 and 6859
Amicable: 8257 and 1137
Amicable: 2009 and 4103
Amicable: 6239 and 2009
Amicable: 1895 and 6239
Amicable: 1475 and 1895
Amicable: 424 and 766
Amicable: 4849 and 2653
Amicable: 1149 and 4849
Amicable: 6973 and 1149
Amicable: 4169 and 2681
Amicable: 8441 and 4169
Amicable: 6341 and 8441
Amicable: 4927 and 1167
Amicable: 615 and 4927
Amicable: 759 and 615
Amicable: 7087 and 759
Amicable: 470 and 518
Amicable: 350 and 470
Amicable: 4213 and 1045
Amicable: 1945 and 4213
Amicable: 306 and 276
Amicable: 1525 and 2723
Amicable: 1445 and 1525
Amicable: 4979 and 1445
Amicable: 6443 and 4979
Amicable: 8579 and 6443
Amicable: 2401 and 524
Amicable: 794 and 2401
Amicable: 873 and 4279
Amicable: 6511 and 873
Amicable: 2107 and 6511
Amicable: 1191 and 2107
Amicable: 567 and 1191
Amicable: 5057 and 1985
Amicable: 7277 and 5057
Amicable: 8717 and 7277
Amicable: 352 and 802
Amicable: 1203 and 2779
Amicable: 2005 and 6613
Amicable: 8809 and 2005
Amicable: 1105 and 8809
Amicable: 2783 and 2807
Amicable: 7391 and 2783
Amicable: 4367 and 7391
Amicable: 645 and 5161
Amicable: 8947 and 4411
Amicable: 1227 and 8947
Amicable: 5213 and 6749
Amicable: 2045 and 5213
Amicable: 7543 and 909
Amicable: 2863 and 7543
Amicable: 783 and 2863
Amicable: 1309 and 6817
Amicable: 2873 and 722
Amicable: 9131 and 2873
Amicable: 7619 and 9131
Amicable: 4499 and 7619
Amicable: 1257 and 5317
Amicable: 556 and 842
Amicable: 1015 and 927
Amicable: 9223 and 1015
Amicable: 1263 and 9223
Amicable: 2095 and 1263
Amicable: 6953 and 2933
Amicable: 2105 and 6953
Amicable: 2947 and 7771
Amicable: 5447 and 4631
Amicable: 1675 and 5447
Amicable: 2023 and 1675
Amicable: 2303 and 2023
Amicable: 9407 and 2303
Amicable: 646 and 862
Amicable: 574 and 646
Amicable: 5473 and 1293
Amicable: 1299 and 2155
Amicable: 7123 and 1299
Amicable: 426 and 342
Amicable: 7157 and 2165
Amicable: 7961 and 7157
Amicable: 777 and 7961
Amicable: 3017 and 777
Amicable: 1083 and 495
Amicable: 963 and 1083
Amicable: 3031 and 963
Amicable: 7999 and 3031
Amicable: 530 and 488
Amicable: 320 and 530
Amicable: 638 and 320
Amicable: 878 and 638
Amicable: 4741 and 837
